rank,full_name,position,team
1,Saquon Barkley,RB,PHI
2,Lamar Jackson,QB,BAL
3,Josh Allen,QB,BUF
4,Ja'Marr Chase,WR,CIN
5,Patrick Mahomes,QB,KC
6,Joe Burrow,QB,CIN
7,Derrick Henry,RB,BAL
8,Myles Garrett,DE,CLE
9,Justin Jefferson,WR,MIN
10,Pat Surtain,CB,DEN
11,T.J. Watt,LB,PIT
12,Chris Jones,DT,KC
13,Penei Sewell,OT,DET
14,Trey Hendrickson,DE,CIN
15,Jared Goff,QB,DET
16,Fred Warner,LB,SF
17,Dexter Lawrence,DT,NYG
18,Derek Stingley Jr.,CB,HOU
19,Jalen Hurts,QB,PHI
20,Amon-Ra St. Brown,WR,DET
21,Jayden Daniels,QB,WAS
22,Maxx Crosby,DE,LV
23,Lane Johnson,OT,PHI
24,Brock Bowers,TE,LV
25,Danielle Hunter,DE,HOU
26,Zack Baun,LB,PHI
27,Jahmyr Gibbs,RB,DET
28,Tristan Wirfs,OT,TB
29,A.J. Brown,WR,PHI
30,Xavier McKinney,S,GB
31,George Kittle,TE,SF
32,Nico Collins,WR,HOU
33,Josh Jacobs,RB,GB
34,Budda Baker,S,ARI
35,CeeDee Lamb,WR,DAL
36,Micah Parsons,DE,DAL
37,Travis Kelce,TE,KC
38,Nik Bonitto,LB,DEN
39,C.J. Stroud,QB,HOU
40,Roquan Smith,LB,BAL
41,Puka Nacua,WR,LA
42,Dion Dawkins,OT,BUF
43,Jalen Carter,DT,PHI
44,Mike Evans,WR,TB
45,Trent Williams,OT,SF
46,Will Anderson,DE,HOU
47,Tyreek Hill,WR,MIA
48,Jonathan Greenard,LB,MIN
49,Quinyon Mitchell,CB,PHI
50,Baker Mayfield,QB,TB
51,Kyle Hamilton,S,BAL
52,Terry McLaurin,WR,WAS
53,Jared Verse,LB,LA
54,Derwin James,S,LAC
55,Aidan Hutchinson,DE,DET
56,Justin Herbert,QB,LAC
57,Nick Bosa,DE,SF
58,Joe Mixon,RB,HOU
59,Matthew Stafford,QB,LA
60,Cooper DeJean,CB,PHI
61,Brian Thomas,WR,JAX
62,Bijan Robinson,RB,ATL
63,Josh Hines-Allen,DE,JAX
64,Bo Nix,QB,DEN
65,Trey McBride,TE,ARI
66,Jalen Ramsey,CB,MIA
67,Malik Nabers,WR,NYG
68,Jordan Love,QB,GB
69,Jordan Mailata,OT,PHI
70,Frankie Luvu,LB,WAS
71,Kerby Joseph,S,DET
72,Sam Darnold,QB,MIN
73,Christian McCaffrey,RB,SF
74,Bobby Wagner,LB,WAS
75,Patrick Queen,LB,PIT
76,Vita Vea,DT,TB
77,Tee Higgins,WR,CIN
78,Khalil Mack,LB,LAC
79,Dak Prescott,QB,DAL
80,Rashan Gary,DE,GB
81,Trent McDuffie,CB,KC
82,Jerry Jeudy,WR,CLE
83,Cameron Heyward,DT,PIT
84,Christian Gonzalez,CB,NE
85,Kyren Williams,RB,LA
86,Laremy Tunsil,OT,HOU
87,Quinnen Williams,DT,NYJ
88,Andrew Van Ginkel,LB,MIN
89,James Cook,RB,BUF
90,Zach Allen,DE,DEN
91,Tua Tagovailoa,QB,MIA
92,Jessie Bates III,S,ATL
93,Creed Humphrey,C,KC
94,Sam LaPorta,TE,DET
95,Josh Sweat,DE,PHI
96,Lavonte David,LB,TB
97,Drake London,WR,ATL
98,Aaron Jones,RB,MIN
99,Leonard Williams,DE,SEA
100,Ladd McConkey,WR,LAC
